CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 
Done!2.51 s

Number of sentences: 9450
Number of features:  1017940
Number of thread(s): 56
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=178 terr=0.10446 serr=0.61630 act=1017940 obj=36954.22689 diff=0.00357
iter=179 terr=0.10429 serr=0.61439 act=1017940 obj=36827.58965 diff=0.00343
iter=180 terr=0.10128 serr=0.60984 act=1017940 obj=36836.83637 diff=0.00025
iter=181 terr=0.10228 serr=0.61153 act=1017940 obj=36767.97641 diff=0.00187
iter=182 terr=0.10381 serr=0.61365 act=1017940 obj=36709.96735 diff=0.00158
iter=183 terr=0.10449 serr=0.61354 act=1017940 obj=36660.89149 diff=0.00134
iter=184 terr=0.10420 serr=0.61312 act=1017940 obj=36577.53114 diff=0.00227
iter=185 terr=0.10225 serr=0.60952 act=1017940 obj=36384.46516 diff=0.00528
iter=186 terr=0.10366 serr=0.61185 act=1017940 obj=36277.04242 diff=0.00295
iter=187 terr=0.10286 serr=0.61196 act=1017940 obj=36178.52498 diff=0.00272
iter=188 terr=0.09974 serr=0.60455 act=1017940 obj=37208.66850 diff=0.02847
iter=189 terr=0.09861 serr=0.60296 act=1017940 obj=36077.87911 diff=0.03039
iter=190 terr=0.09815 serr=0.60212 act=1017940 obj=35954.39680 diff=0.00342
iter=191 terr=0.09832 serr=0.60328 act=1017940 obj=35844.38314 diff=0.00306
iter=192 terr=0.09762 serr=0.60169 act=1017940 obj=35735.74080 diff=0.00303
iter=193 terr=0.09776 serr=0.60063 act=1017940 obj=35661.76225 diff=0.00207
iter=194 terr=0.09637 serr=0.59661 act=1017940 obj=35504.54559 diff=0.00441
iter=195 terr=0.09253 serr=0.58815 act=1017940 obj=35262.09033 diff=0.00683
iter=196 terr=0.10354 serr=0.60063 act=1017940 obj=35580.61553 diff=0.00903
iter=197 terr=0.09525 serr=0.59079 act=1017940 obj=35197.91659 diff=0.01076
